name,value,pretty_value,boot_val,unit
vacuum_cost_limit,200,"",200,
vacuum_cost_page_dirty,20,"",20,
vacuum_cost_page_hit,1,"",1,
vacuum_cost_page_miss,10,"",10,
vacuum_defer_cleanup_age,0,"",0,
vacuum_freeze_min_age,50000000,"",50000000,
vacuum_freeze_table_age,150000000,"",150000000,
vacuum_multixact_freeze_min_age,5000000,"",5000000,
vacuum_multixact_freeze_table_age,150000000,"",150000000,
wal_block_size,8192,"",8192,
wal_buffers,512,4096 kB,-1,8kB
wal_compression,off,"",off,
wal_consistency_checking,"","","",
wal_init_zero,on,"",on,
wal_keep_segments,0,"",0,
wal_level,replica,"",replica,
wal_log_hints,off,"",off,
wal_receiver_status_interval,10,"",10,s
wal_receiver_timeout,60000,"",60000,ms
wal_recycle,on,"",on,
wal_retrieve_retry_interval,5000,"",5000,ms
wal_segment_size,16777216,"",16777216,B
wal_sender_timeout,60000,"",60000,ms
wal_sync_method,fdatasync,"",fdatasync,
wal_writer_delay,200,"",200,ms
wal_writer_flush_after,128,1024 kB,128,8kB
work_mem,4096,4096 kB,4096,kB
xmlbinary,base64,"",base64,
xmloption,content,"",content,
zero_damaged_pages,off,"",off,
